"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","merge_col"
"WGN07","D",19,38,"WGN07D19",1369,"STP",2017,2,52,19,NA,"WGN07D19_STP_2017_2"
"WGN07","C",20,39,"WGN07C20",20,"STP",2017,1,24,4,NA,"WGN07C20_STP_2017_1"
"WGN07","C",20,39,"WGN07C20",1305,"STP",2017,2,62,18,NA,"WGN07C20_STP_2017_2"
"WGN07","D",20,40,"WGN07D20",85,"STP",2017,1,20,5,NA,"WGN07D20_STP_2017_1"
"WGN07","D",20,40,"WGN07D20",1370,"STP",2017,2,49,39,NA,"WGN07D20_STP_2017_2"
"WGN07","C",21,41,"WGN07C21",21,"STP",2017,1,4,3,NA,"WGN07C21_STP_2017_1"
"WGN07","C",21,41,"WGN07C21",1306,"STP",2017,2,45,41,NA,"WGN07C21_STP_2017_2"
"WGN07","D",21,42,"WGN07D21",86,"STP",2017,1,14,30,NA,"WGN07D21_STP_2017_1"
"WGN07","D",21,42,"WGN07D21",1371,"STP",2017,2,60,23,NA,"WGN07D21_STP_2017_2"
"WGN07","C",22,43,"WGN07C22",22,"STP",2017,1,20,24,"self","WGN07C22_STP_2017_1"
"WGN07","C",NA,43,NA,NA,"STP",2017,2,NA,NA,NA,"NA_STP_2017_2"
"WGN07","D",22,44,"WGN07D22",87,"STP",2017,1,30,18,NA,"WGN07D22_STP_2017_1"
"WGN07","D",22,44,"WGN07D22",1372,"STP",2017,2,58,12,NA,"WGN07D22_STP_2017_2"
"WGN07","C",23,45,"WGN07C23",23,"STP",2017,1,10,40,"self","WGN07C23_STP_2017_1"
"WGN07","C",23,45,"WGN07C23",1308,"STP",2017,2,53,13,"self","WGN07C23_STP_2017_2"
"WGN07","D",23,46,"WGN07D23",88,"STP",2017,1,23,13,NA,"WGN07D23_STP_2017_1"
"WGN07","D",23,46,"WGN07D23",1373,"STP",2017,2,33,16,NA,"WGN07D23_STP_2017_2"
"WGN07","C",24,47,"WGN07C24",24,"STP",2017,1,27,22,NA,"WGN07C24_STP_2017_1"
"WGN07","C",24,47,"WGN07C24",1309,"STP",2017,2,62,12,NA,"WGN07C24_STP_2017_2"
"WGN07","D",24,48,"WGN07D24",89,"STP",2017,1,13,30,NA,"WGN07D24_STP_2017_1"
"WGN07","D",24,48,"WGN07D24",1374,"STP",2017,2,50,34,NA,"WGN07D24_STP_2017_2"
"WGN07","C",25,49,"WGN07C25",25,"STP",2017,1,31,2,NA,"WGN07C25_STP_2017_1"
"WGN07","C",25,49,"WGN07C25",1310,"STP",2017,2,56,20,NA,"WGN07C25_STP_2017_2"
"WGN07","D",25,50,"WGN07D25",90,"STP",2017,1,29,14,NA,"WGN07D25_STP_2017_1"
"WGN07","D",25,50,"WGN07D25",1375,"STP",2017,2,62,23,NA,"WGN07D25_STP_2017_2"
"WGN07","C",26,51,"WGN07C26",26,"STP",2017,1,32,5,NA,"WGN07C26_STP_2017_1"
"WGN07","C",26,51,"WGN07C26",1311,"STP",2017,2,45,36,NA,"WGN07C26_STP_2017_2"
"WGN07","D",26,52,"WGN07D26",91,"STP",2017,1,25,10,NA,"WGN07D26_STP_2017_1"
"WGN07","D",26,52,"WGN07D26",1376,"STP",2017,2,58,32,NA,"WGN07D26_STP_2017_2"
"WGN07","C",27,53,"WGN07C27",27,"STP",2017,1,13,19,NA,"WGN07C27_STP_2017_1"
"WGN07","C",27,53,"WGN07C27",1312,"STP",2017,2,35,35,NA,"WGN07C27_STP_2017_2"
"WGN07","D",NA,54,NA,NA,"STP",2017,1,NA,NA,NA,"NA_STP_2017_1"
"WGN07","D",27,54,"WGN07D27",1377,"STP",2017,2,39,6,NA,"WGN07D27_STP_2017_2"
"WGN07","C",28,55,"WGN07C28",28,"STP",2017,1,31,29,NA,"WGN07C28_STP_2017_1"
"WGN07","C",28,55,"WGN07C28",1313,"STP",2017,2,50,31,NA,"WGN07C28_STP_2017_2"
"WGN07","D",28,56,"WGN07D28",93,"STP",2017,1,19,24,NA,"WGN07D28_STP_2017_1"
"WGN07","D",28,56,"WGN07D28",1378,"STP",2017,2,45,23,NA,"WGN07D28_STP_2017_2"
"WGN07","C",29,57,"WGN07C29",29,"STP",2017,1,15,1,NA,"WGN07C29_STP_2017_1"
"WGN07","C",29,57,"WGN07C29",1314,"STP",2017,2,50,19,NA,"WGN07C29_STP_2017_2"
"WGN07","D",29,58,"WGN07D29",94,"STP",2017,1,22,20,NA,"WGN07D29_STP_2017_1"
"WGN07","D",29,58,"WGN07D29",1379,"STP",2017,2,39,12,NA,"WGN07D29_STP_2017_2"
"WGN07","C",30,59,"WGN07C30",30,"STP",2017,1,29,31,NA,"WGN07C30_STP_2017_1"
"WGN07","C",30,59,"WGN07C30",1315,"STP",2017,2,56,12,NA,"WGN07C30_STP_2017_2"
"WGN07","D",30,60,"WGN07D30",95,"STP",2017,1,5,26,NA,"WGN07D30_STP_2017_1"
"WGN07","D",30,60,"WGN07D30",1380,"STP",2017,2,62,36,NA,"WGN07D30_STP_2017_2"
"WGN07","C",31,61,"WGN07C31",31,"STP",2017,1,3,12,NA,"WGN07C31_STP_2017_1"
"WGN07","C",31,61,"WGN07C31",1316,"STP",2017,2,39,34,NA,"WGN07C31_STP_2017_2"
"WGN07","D",31,62,"WGN07D31",96,"STP",2017,1,27,35,NA,"WGN07D31_STP_2017_1"
"WGN07","D",31,62,"WGN07D31",1381,"STP",2017,2,51,27,NA,"WGN07D31_STP_2017_2"
"WGN07","C",32,63,"WGN07C32",32,"STP",2017,1,28,30,NA,"WGN07C32_STP_2017_1"
"WGN07","C",32,63,"WGN07C32",1317,"STP",2017,2,54,2,NA,"WGN07C32_STP_2017_2"
"WGN07","D",32,64,"WGN07D32",97,"STP",2017,1,6,21,NA,"WGN07D32_STP_2017_1"
"WGN07","D",32,64,"WGN07D32",1382,"STP",2017,2,57,35,NA,"WGN07D32_STP_2017_2"
"WGN07","C",33,65,"WGN07C33",33,"STP",2017,1,28,18,"self","WGN07C33_STP_2017_1"
"WGN07","C",33,65,"WGN07C33",1318,"STP",2017,2,41,42,"self","WGN07C33_STP_2017_2"
"WGN07","C",33,66,"WGN07D33",98,"STP",2017,1,24,19,NA,"WGN07D33_STP_2017_1"
"WGN07","C",33,66,"WGN07D33",1383,"STP",2017,2,35,3,NA,"WGN07D33_STP_2017_2"
"WGN07","D",34,67,"WGN07C34",34,"STP",2017,1,11,19,NA,"WGN07C34_STP_2017_1"
"WGN07","D",34,67,"WGN07C34",1319,"STP",2017,2,34,7,NA,"WGN07C34_STP_2017_2"
"WGN07","C",34,68,"WGN07D34",99,"STP",2017,1,1,25,NA,"WGN07D34_STP_2017_1"
"WGN07","C",34,68,"WGN07D34",1384,"STP",2017,2,42,31,NA,"WGN07D34_STP_2017_2"
"WGN07","D",35,69,"WGN07C35",35,"STP",2017,1,29,1,NA,"WGN07C35_STP_2017_1"
"WGN07","D",35,69,"WGN07C35",1320,"STP",2017,2,57,3,NA,"WGN07C35_STP_2017_2"
"WGN07","C",35,70,"WGN07D35",100,"STP",2017,1,16,18,"self","WGN07D35_STP_2017_1"
"WGN07","C",35,70,"WGN07D35",1385,"STP",2017,2,54,21,"self","WGN07D35_STP_2017_2"
"WGN07","D",36,71,"WGN07C36",36,"STP",2017,1,3,19,NA,"WGN07C36_STP_2017_1"
"WGN07","D",36,71,"WGN07C36",1321,"STP",2017,2,52,22,NA,"WGN07C36_STP_2017_2"
"WGN07","C",36,72,"WGN07D36",101,"STP",2017,1,32,7,NA,"WGN07D36_STP_2017_1"
"WGN07","C",36,72,"WGN07D36",1386,"STP",2017,2,34,13,NA,"WGN07D36_STP_2017_2"
"WGN07","D",37,73,"WGN07C37",37,"STP",2017,1,19,30,NA,"WGN07C37_STP_2017_1"
"WGN07","D",37,73,"WGN07C37",1322,"STP",2017,2,64,35,NA,"WGN07C37_STP_2017_2"
"WGN07","C",37,74,"WGN07D37",102,"STP",2017,1,25,20,NA,"WGN07D37_STP_2017_1"
"WGN07","C",37,74,"WGN07D37",1387,"STP",2017,2,44,7,NA,"WGN07D37_STP_2017_2"
"WGN07","D",38,75,"WGN07C38",38,"STP",2017,1,3,27,NA,"WGN07C38_STP_2017_1"
"WGN07","D",38,75,"WGN07C38",1323,"STP",2017,2,33,41,NA,"WGN07C38_STP_2017_2"
"WGN07","C",38,76,"WGN07D38",103,"STP",2017,1,31,31,NA,"WGN07D38_STP_2017_1"
"WGN07","C",38,76,"WGN07D38",1388,"STP",2017,2,51,36,NA,"WGN07D38_STP_2017_2"
"WGN07","D",39,77,"WGN07C39",39,"STP",2017,1,13,16,NA,"WGN07C39_STP_2017_1"
"WGN07","D",39,77,"WGN07C39",1324,"STP",2017,2,55,8,NA,"WGN07C39_STP_2017_2"
"WGN07","C",39,78,"WGN07D39",104,"STP",2017,1,32,16,NA,"WGN07D39_STP_2017_1"
"WGN07","C",39,78,"WGN07D39",1389,"STP",2017,2,33,26,NA,"WGN07D39_STP_2017_2"
"WGN07","D",40,79,"WGN07C40",40,"STP",2017,1,28,13,NA,"WGN07C40_STP_2017_1"
"WGN07","D",40,79,"WGN07C40",1325,"STP",2017,2,44,18,NA,"WGN07C40_STP_2017_2"
"WGN07","C",40,80,"WGN07D40",105,"STP",2017,1,29,12,NA,"WGN07D40_STP_2017_1"
"WGN07","C",40,80,"WGN07D40",1390,"STP",2017,2,53,36,NA,"WGN07D40_STP_2017_2"
"WGN07","D",41,81,"WGN07C41",41,"STP",2017,1,30,32,NA,"WGN07C41_STP_2017_1"
"WGN07","D",41,81,"WGN07C41",1326,"STP",2017,2,61,38,NA,"WGN07C41_STP_2017_2"
"WGN07","C",41,82,"WGN07D41",106,"STP",2017,1,20,23,NA,"WGN07D41_STP_2017_1"
