"famID","germplasm_id","loc","year","rep","seed_area","seeds_per_spike"
"WGN15","WGN15C65","STP",2017,1,"8","3.686440678"
"WGN15","WGN15D01","STP",2017,1,"8","4.189090909"
"WGN15","WGN15D02","STP",2017,1,"8","4.660869565"
"WGN15","WGN15D03","STP",2017,1,"8.7","4.723529412"
"WGN15","WGN15D04","STP",2017,1,"9.7","4.85625"
"WGN15","WGN15D05","STP",2017,1,"8.2","5.0203125"
"WGN15","WGN15D06","STP",2017,1,"8.9","3.37173913"
"WGN15","WGN15D07","STP",2017,1,"8.9","4.123404255"
"WGN15","WGN15D08","STP",2017,1,"8.1","4.254807692"
"WGN15","WGN15D09","STP",2017,1,"8.8","5.1"
"WGN15","WGN15D10","STP",2017,1,"8.5","5.50862069"
"WGN15","WGN15D11","STP",2017,1,"8.8","3.416666667"
"WGN15","WGN15D12","STP",2017,1,"6.5","1.626923077"
"WGN15","WGN15D13","STP",2017,1,"8.7","5.535"
"WGN15","WGN15D14","STP",2017,1,"8.9","5.198830409"
"WGN15","WGN15D15","STP",2017,1,"8.7","4.727272727"
"WGN15","WGN15D16","STP",2017,1,"10.2","5.405"
"WGN15","WGN15D17","STP",2017,1,"8.6","4.132075472"
"WGN15","WGN15D18","STP",2017,1,"8.5","4.129090909"
"WGN15","WGN15D19","STP",2017,1,"6.5","3.647058824"
"WGN15","WGN15D20","STP",2017,1,"8.3","3.613043478"
"WGN15","WGN15D21","STP",2017,1,"9.1","4.916326531"
"WGN15","WGN15D22","STP",2017,1,"8.3","3.9140625"
"WGN15","WGN15D23","STP",2017,1,"8","4.047272727"
"WGN15","WGN15D24","STP",2017,1,"9","4.345454545"
"WGN15","WGN15D25","STP",2017,1,"10.2","4.440983607"
"WGN15","WGN15D26","STP",2017,1,"8.6","3.572727273"
"WGN15","WGN15D27","STP",2017,1,"8.5","4.815"
"WGN15","WGN15D28","STP",2017,1,"8.5","3.418032787"
"WGN15","WGN15D29","STP",2017,1,"8.3","6.333870968"
"WGN15","WGN15D30","STP",2017,1,"8.2","2.661702128"
"WGN15","WGN15D31","STP",2017,1,"8.6","4.222570533"
"WGN15","WGN15D32","STP",2017,1,"7.4","3.275"
"WGN15","WGN15D33","STP",2017,1,"8.2","3.701298701"
"WGN15","WGN15D34","STP",2017,1,NA,NA
"WGN15","WGN15D35","STP",2017,1,"8.3","4.283159463"
"WGN15","WGN15D36","STP",2017,1,"8.8","4.205263158"
"WGN15","WGN15D37","STP",2017,1,"8.7","3.833333333"
"WGN15","WGN15D38","STP",2017,1,"7.5","4.436363636"
"WGN15","WGN15D39","STP",2017,1,"7.7","4.345146379"
"WGN15","WGN15D40","STP",2017,1,"8.8","4.385416667"
"WGN15","WGN15D41","STP",2017,1,"8.2","4.963636364"
"WGN15","WGN15D42","STP",2017,1,"8.9","4.748571429"
"WGN15","WGN15D43","STP",2017,1,"8.2","5.51875"
"WGN15","WGN15D44","STP",2017,1,"8.9","4.175409836"
"WGN15","WGN15D45","STP",2017,1,"9.7","4.098214286"
"WGN15","WGN15D46","STP",2017,1,"9.1","3.532653061"
"WGN15","WGN15D47","STP",2017,1,"8.1","5.773148148"
"WGN15","WGN15D48","STP",2017,1,"8.4","4.345454545"
"WGN15","WGN15D49","STP",2017,1,"8.8","4.783018868"
"WGN15","WGN15D50","STP",2017,1,"9","4.5"
"WGN15","WGN15D51","STP",2017,1,"8.6","4.666666667"
"WGN15","WGN15D52","STP",2017,1,"8.6","3.762784091"
"WGN15","WGN15D53","STP",2017,1,"7.8","5.080851064"
"WGN15","WGN15D54","STP",2017,1,"9.8","3.483333333"
"WGN15","WGN15D55","STP",2017,1,"8.3","3.675"
"WGN15","WGN15D56","STP",2017,1,"9.1","4.168421053"
"WGN15","WGN15D57","STP",2017,1,"10.4","4.847826087"
"WGN15","WGN15D58","STP",2017,1,"8.3","3.614754098"
"WGN15","WGN15D59","STP",2017,1,"8.5","3.261818182"
"WGN15","WGN15D60","STP",2017,1,"9.7","4.097142857"
"WGN15","WGN15D61","STP",2017,1,"8.4","3.976190476"
"WGN15","WGN15D62","STP",2017,1,"7.6","4.313114754"
"WGN15","WGN15D63","STP",2017,1,"8.4","3.5375"
"WGN15","WGN15D64","STP",2017,1,"8.2","5.528571429"
"WGN15","WGN15D65","STP",2017,1,"8.5","5.665384615"
"WGN26","WGN26C01","STP",2017,1,NA,NA
"WGN26","WGN26C02","STP",2017,1,"8.7","3.9375"
"WGN26","WGN26C03","STP",2017,1,"9.1","4.546153846"
"WGN26","WGN26C04","STP",2017,1,"9.1","3.847826087"
"WGN26","WGN26C05","STP",2017,1,"7.8","3.257142857"
"WGN26","WGN26C06","STP",2017,1,"9.7","4.06"
"WGN26","WGN26C07","STP",2017,1,"9.1","5.078369906"
"WGN26","WGN26C08","STP",2017,1,"8","4.408928571"
"WGN26","WGN26C09","STP",2017,1,"9.4","4.711764706"
"WGN26","WGN26C10","STP",2017,1,NA,NA
"WGN26","WGN26C11","STP",2017,1,"9.3","4.90862069"
"WGN26","WGN26C12","STP",2017,1,"9.3","4.998461538"
"WGN26","WGN26C13","STP",2017,1,"8.2","4.175409836"
"WGN26","WGN26C14","STP",2017,1,"10.4","3.621052632"
"WGN26","WGN26C15","STP",2017,1,"9.2","1.765384615"
"WGN26","WGN26C16","STP",2017,1,"9.2","4.302985075"
"WGN26","WGN26C17","STP",2017,1,"9.9","3.726315789"
"WGN26","WGN26C18","STP",2017,1,"9.7","4.5234375"
"WGN26","WGN26C19","STP",2017,1,"9.5","3.595081967"
"WGN26","WGN26C20","STP",2017,1,"10.3","4.684210526"
"WGN26","WGN26C21","STP",2017,1,NA,NA
"WGN26","WGN26C22","STP",2017,1,"8.3","4.915384615"
"WGN26","WGN26C23","STP",2017,1,"10","4.8375"
"WGN26","WGN26C24","STP",2017,1,"8.6","5.411483254"
"WGN26","WGN26C25","STP",2017,1,"9.2","5.638983051"
"WGN26","WGN26C26","STP",2017,1,"9.5","3.345762712"
"WGN26","WGN26C27","STP",2017,1,"8.6","4.714285714"
"WGN26","WGN26C28","STP",2017,1,NA,NA
"WGN26","WGN26C29","STP",2017,1,"8.8","4.341281669"
"WGN26","WGN26C31","STP",2017,1,"9.3","4.784210526"
"WGN26","WGN26C32","STP",2017,1,"9.5","5.193850267"
"WGN26","WGN26C33","STP",2017,1,"10.1","3.726044226"
"WGN26","WGN26C34","STP",2017,1,"9.4","4.189655172"
"WGN26","WGN26C35","STP",2017,1,"8.2","4.074380165"
"WGN26","WGN26C36","STP",2017,1,"9.5","4.877586207"
"WGN26","WGN26C37","STP",2017,1,"9.9","3.790178571"
"WGN26","WGN26C38","STP",2017,1,"10.1","3.88125"
"WGN26","WGN26C39","STP",2017,1,NA,NA
"WGN26","WGN26C40","STP",2017,1,"9.6","5.426785714"
"WGN26","WGN26C41","STP",2017,1,"8.1","4.848387097"
"WGN26","WGN26C42","STP",2017,1,"9.4","3.579310345"
"WGN26","WGN26C43","STP",2017,1,NA,NA
"WGN26","WGN26C44","STP",2017,1,"8","4.523376623"
"WGN26","WGN26C45","STP",2017,1,"10","4.513157895"
"WGN26","WGN26C46","STP",2017,1,"8.5","3.547619048"
"WGN26","WGN26C47","STP",2017,1,"9","4.262903226"
"WGN26","WGN26C48","STP",2017,1,"9.3","4.751612903"
"WGN26","WGN26C49","STP",2017,1,"9.5","2.818181818"
"WGN26","WGN26C50","STP",2017,1,"10.8","4.545"
"WGN26","WGN26C51","STP",2017,1,"8.6","4.318181818"
"WGN26","WGN26C52","STP",2017,1,"10.4","2.085714286"
"WGN26","WGN26C53","STP",2017,1,"9.3","5.317241379"
"WGN26","WGN26C54","STP",2017,1,"8.4","3.014705882"
"WGN26","WGN26C55","STP",2017,1,"10","5.496774194"
"WGN26","WGN26C56","STP",2017,1,"11","4.939130435"
"WGN26","WGN26C57","STP",2017,1,"7.2","1.25"
"WGN26","WGN26C58","STP",2017,1,"9.1","4.191608392"
"WGN26","WGN26C59","STP",2017,1,NA,NA
"WGN26","WGN26C60","STP",2017,1,"8.4","5.458064516"
"WGN26","WGN26C61","STP",2017,1,"8.5","3.953225806"
"WGN26","WGN26C62","STP",2017,1,"8.3","5.119047619"
"WGN26","WGN26C63","STP",2017,1,"9.3","4.157342657"
"WGN26","WGN26C64","STP",2017,1,"8.5","3.714545455"
"WGN26","WGN26C65","STP",2017,1,"8.5","3.715686275"
"WGN26","WGN26D01","STP",2017,1,"9","2.316"
"WGN26","WGN26D02","STP",2017,1,"9.4","4.016129032"
"WGN26","WGN26D03","STP",2017,1,"9.2","3.766666667"
"WGN26","WGN26D04","STP",2017,1,NA,NA
"WGN26","WGN26D05","STP",2017,1,"10.4","3.921428571"
"WGN26","WGN26D06","STP",2017,1,"10.8","3.051724138"
"WGN26","WGN26D07","STP",2017,1,"9.2","3.512820513"
"WGN26","WGN26D08","STP",2017,1,"10.1","2.388679245"
"WGN26","WGN26D09","STP",2017,1,"9.6","5.285454545"
"WGN26","WGN26D10","STP",2017,1,"10.3","4.206896552"
"WGN26","WGN26D11","STP",2017,1,"8.9","5.095833333"
"WGN26","WGN26D12","STP",2017,1,NA,NA
"WGN26","WGN26D13","STP",2017,1,"10.8","3.068181818"
"WGN26","WGN26D14","STP",2017,1,"9.8","4.688135593"
"WGN26","WGN26D15","STP",2017,1,"8.7","4.15862069"
"WGN26","WGN26D16","STP",2017,1,"8.6","3.42"
"WGN26","WGN26D17","STP",2017,1,"10.6","3.635"
"WGN26","WGN26D18","STP",2017,1,"10.6","3.975"
"WGN26","WGN26D19","STP",2017,1,"9.8","4.170087977"
"WGN26","WGN26D20","STP",2017,1,"9.3","3.706779661"
"WGN26","WGN26D21","STP",2017,1,"10.1","5.454098361"
"WGN26","WGN26D22","STP",2017,1,"9.5","5.457142857"
"WGN26","WGN26D23","STP",2017,1,"9.9","4.265217391"
"WGN26","WGN26D24","STP",2017,1,"10.5","4.28"
"WGN26","WGN26D25","STP",2017,1,"10.2","4.438983051"
"WGN26","WGN26D26","STP",2017,1,"9.1","4.597014925"
"WGN26","WGN26D27","STP",2017,1,"8.8","3.540909091"
"WGN26","WGN26D28","STP",2017,1,"9.7","5.567398119"
"WGN26","WGN26D29","STP",2017,1,"9.7","4.545454545"
"WGN26","WGN26D30","STP",2017,1,"8.2","4.758041958"
"WGN26","WGN26D31","STP",2017,1,"8.5","4.509677419"
"WGN26","WGN26D32","STP",2017,1,"9","4.43062201"
"WGN26","WGN26D33","STP",2017,1,"9.4","4.647540984"
"WGN26","WGN26D34","STP",2017,1,"9.5","4.568306011"
