"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","seed_area","seeds_per_spike"
"WGN07","D",47,93,"WGN07C47",47,"STP",2017,1,8,9,NA,"7.7","4.377464789"
"WGN07","D",47,93,"WGN07C47",1332,"STP",2017,2,49,22,NA,"7.5","4.808695652"
"WGN07","C",47,94,"WGN07D47",112,"STP",2017,1,23,39,NA,"7.5","3.6"
"WGN07","C",47,94,"WGN07D47",1397,"STP",2017,2,47,19,NA,"7.8","4.414285714"
"WGN07","D",48,95,"WGN07C48",48,"STP",2017,1,9,1,NA,"8.2","3.672478207"
"WGN07","D",48,95,"WGN07C48",1333,"STP",2017,2,42,19,NA,"7.8","4.833333333"
"WGN07","C",48,96,"WGN07D48",113,"STP",2017,1,9,41,NA,"8.3","2.538095238"
"WGN07","C",48,96,"WGN07D48",1398,"STP",2017,2,40,20,NA,"7.8","2.947368421"
"WGN07","D",49,97,"WGN07C49",49,"STP",2017,1,14,34,NA,"7.9","5.191666667"
"WGN07","D",49,97,"WGN07C49",1334,"STP",2017,2,40,32,NA,"8.8","5.276"
"WGN07","C",49,98,"WGN07D49",114,"STP",2017,1,2,19,NA,"8.3","5.605594406"
"WGN07","C",49,98,"WGN07D49",1399,"STP",2017,2,48,13,NA,"7.8","4.595"
"WGN07","D",50,99,"WGN07C50",50,"STP",2017,1,14,35,NA,"8.9","4.255384615"
"WGN07","D",50,99,"WGN07C50",1335,"STP",2017,2,49,24,NA,"8.6","4.227272727"
"WGN07","C",50,100,"WGN07D50",115,"STP",2017,1,12,12,NA,"7.6","4.901785714"
"WGN07","C",50,100,"WGN07D50",1400,"STP",2017,2,60,40,NA,"7.5","4.819672131"
"WGN07","D",51,101,"WGN07C51",51,"STP",2017,1,14,24,NA,"8.6","4.547826087"
"WGN07","D",51,101,"WGN07C51",1336,"STP",2017,2,44,32,NA,"8.7","3.868"
"WGN07","C",51,102,"WGN07D51",116,"STP",2017,1,8,4,NA,"8.6","4.360273973"
"WGN07","C",51,102,"WGN07D51",1401,"STP",2017,2,43,1,NA,"8.6","4.732"
"WGN07","D",52,103,"WGN07C52",52,"STP",2017,1,19,36,NA,"7.7","3.613432836"
"WGN07","D",52,103,"WGN07C52",1337,"STP",2017,2,44,21,NA,"7.8","3.372857143"
"WGN07","C",52,104,"WGN07D52",117,"STP",2017,1,10,30,NA,"7.6","5.130434783"
