"height","reproductive_tiller_ct","florets_per_spikelet","emergence_percent","stem_diameter","yield_per_plant","floret_site_utilization","spikelet_density","yield_per_spike","thousand_grain_weight","spikelets_per_spike","merge_col","flag_leaf_area","anthesis_score"
"95","41","7.666666667","0.416666667","2.036666667","15.301","0.591772575","0.902777778","0.7201","8.585",21.6666666666667,"WGN07C57_STP_2017_1",14,7
"115","110","8.333333333","0.692307692","2.44","41.25992","0.569","0.791208791","0.963792","9.735",24,"WGN07C58_STP_2017_1",29.4,8
"120","45","9","0.417721519","2.156666667","15.50666","0.438028169","0.898734177","0.621946","7.686",23.6666666666667,"WGN07C59_STP_2017_1",22.8,7
"115","42","9.333333333","0.410958904","2.026666667","20.652855","0.547806122","0.95890411","0.8589155","7.269",23.3333333333333,"WGN07C60_STP_2017_1",20.4,6
"115","55","8","0.5625","1.943333333","18.233335","0.472183099","0.8875","0.6216335","7.244",23.6666666666667,"WGN07C61_STP_2017_1",18,9
"105","96","8.333333333","0.506024096","2.196666667","31.882","0.543980344","0.891566265","0.771090909","6.835",24.6666666666667,"WGN07C62_STP_2017_1",23.4,8
"100","66","6.666666667","0.525547445","1.86","29.995938","0.596612903","0.905109489","0.6239338","7.901",20.6666666666667,"WGN07C63_STP_2017_1",22,7
"110","70","9.333333333","0.344827586","2.72","43.637","0.552712912","0.896551724","1.154625","8.838",26,"WGN07C64_STP_2017_1",41.6,7
"115","74","11.66666667","0.615384615","2.453333333","31.431547","0.427757317","0.858974359","1.010549727","8.988",22.3333333333333,"WGN07C65_STP_2017_1",28.6,8
"110","74","9.333333333","0.44","1.99","38.300808","0.583695652","0.92","0.8858408","7.173",23,"WGN07D01_STP_2017_1",30.8,8
"90","17","8","0.268656716","1.97","7.801008","0.522270115","0.865671642","0.604912","7.851",19.3333333333333,"WGN07D02_STP_2017_1",19.5,5
"95","35","7","0.310344828","1.736666667","8.754657","0.369815668","1.068965517","0.322446417","5.872",20.6666666666667,"WGN07D03_STP_2017_1",12.6,5
"120","20","9.666666667","0.715231788","1.833333333","12.669524","0.443211207","0.847682119","0.7798924","8.495",21.3333333333333,"WGN07D04_STP_2017_1",23,8
"90","29","9","0.333333333","1.946666667","8.729719","0.53517316","0.888888889","0.559374455","6.44",18.6666666666667,"WGN07D05_STP_2017_1",18,6
"90","41","9","0.408163265","2.05","16.062046","0.380099502","0.911564626","0.6022646","8.511",22.3333333333333,"WGN07D06_STP_2017_1",22.1,6
"110","129","8","0.828947368","2.276666667","47.98493","0.578389831","0.776315789","0.702720909","7.942",19.6666666666667,"WGN07D07_STP_2017_1",22.1,8
"105","43","7.333333333","0.428571429","2.066666667","23.391564","0.556483957","0.971428571","0.7436464","8.096",22.6666666666667,"WGN07D08_STP_2017_1",19.2,7
"85","37","8","0.604316547","1.91","10.119101","0.43452381","0.90647482","0.6452401","9.375",21,"WGN07D09_STP_2017_1",20.9,8
"75","17","7","0.183673469","1.573333333","1.736232","0.139467312","1.204081633","0.1141632","6.902",19.6666666666667,"WGN07D10_STP_2017_1",28,5
"115","77","8.333333333","0.493150685","1.97","33.918957","0.561836066","0.835616438","0.7360157","7.117",20.3333333333333,"WGN07D11_STP_2017_1",34.5,7
"85","97","10","0.780821918","2.55","23.901025","0.353342246","0.931506849","0.650547727","8.824",22.6666666666667,"WGN07D12_STP_2017_1",32,7
"85","68","9.666666667","0.638297872","2.296666667","29.688666","0.507192118","0.992907801","0.8452566","8.07",23.3333333333333,"WGN07D13_STP_2017_1",27,7
"115","44","8.666666667","0.608695652","1.786666667","12.723449","0.522164276","0.855072464","0.6876549","8.167",19.6666666666667,"WGN07D14_STP_2017_1",16.5,8
"110","60","8.666666667","0.43902439","2.22",NA,"0.450910931","0.926829268","0.6361857","6.378",25.3333333333333,"WGN07D15_STP_2017_1",30.8,8
"95","52","10","0.710526316","2.593333333",NA,"0.415","0.868421053","0.8333923","9.413",22,"WGN07D16_STP_2017_1",19,8
"110","93","9.333333333","0.642857143","2.13","41.169113","0.46257764","0.821428571","0.8664313","8.8",23,"WGN07D17_STP_2017_1",22,9
"85","36","10","1.029850746","2.3","7.478497","0.236842105","0.850746269","0.353572455","8.41",19,"WGN07D18_STP_2017_1",25.2,9
"105","103","10","0.797468354","2.503333333","37.746156","0.375205479","0.924050633","0.7826756","9.385",24.3333333333333,"WGN07D19_STP_2017_1",25.2,9
"95","42","8.333333333","0.529411765","1.936666667","12.074344","0.363226633","1.044117647","0.467031273","7.086",23.6666666666667,"WGN07D20_STP_2017_1",24.7,8
"120","54","7.666666667","0.505617978","2.393333333","28.828982","0.410869565","0.898876404","0.723180182","10.077",26.6666666666667,"WGN07D21_STP_2017_1",26,8
"85","47","6.666666667","0.25","1.33","10.406686","0.5559375","1","0.4025886","7.051",16,"WGN07D22_STP_2017_1",9.8,6
"95","42","9.333333333","0.258992806","2.226666667","11.521","0.394252232","0.920863309","0.6621","8.674",21.3333333333333,"WGN07D23_STP_2017_1",15,8
"90","40","8.666666667","0.486486486","2.166666667","9.564221","0.378639053","0.878378378","0.5277121","7.547",21.6666666666667,"WGN07D24_STP_2017_1",21.6,6
"115","90","9","0.610169492","2.356666667",NA,"0.609859155","0.802259887","1.0632008","9.233",23.6666666666667,"WGN07D25_STP_2017_1",22.8,8
"105","66","11","0.653061224","2.183333333","26.6459","0.36780303","0.979591837","0.74399","7.694",24,"WGN07D26_STP_2017_1",33,9
"95","51","10.33333333","0.434210526","2.533333333","22.055","0.297580645","0.947368421","0.5755","8.826",24,"WGN07D28_STP_2017_1",30,7
"110","40","10.33333333","0.418604651","2.483333333","14.77767","0.445917339","0.744186047","0.761517","8.338",21.3333333333333,"WGN07D29_STP_2017_1",26,6
"100","58","9","0.571428571","2.443333333","27.465","0.466161616","0.785714286","0.7465","9.105",22,"WGN07D30_STP_2017_1",19.2,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGN07D31_STP_2017_1",NA,NA
"85","46","11.33333333","0.636363636","2.213333333","24.2795","0.471535394","0.893939394","0.81262","7.918",19.6666666666667,"WGN07D32_STP_2017_1",28.5,8
"110","75","9.333333333","0.774193548","1.906666667","29.454208","0.476890756","0.877419355","0.776645333","7.929",22.6666666666667,"WGN07D33_STP_2017_1",32.2,8
"95","29","6.666666667","0.65625","2.493333333","8.47882","0.570461538","1.015625","0.490042","6.264",21.6666666666667,"WGN07D34_STP_2017_1",14.4,9
"85","51","10","0.382978723","2.013333333","15.817351","0.366169154","0.95035461","0.535250111","7.667",22.3333333333333,"WGN07D35_STP_2017_1",24,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGN07D36_STP_2017_1",NA,NA
"110","72","9.333333333","0.692307692","2.62","38.628828","0.540264188","0.935897436","1.1492628","10.225",24.3333333333333,"WGN07D37_STP_2017_1",19,8
"90","30","9.666666667","0.434782609","1.95","11.009871","0.442295635","0.942028986","0.692733727","7.953",21.6666666666667,"WGN07D38_STP_2017_1",22.8,7
"110","48","9.666666667","0.394736842","2.213333333","15.947172","0.404759592","0.934210526","0.7028172","8.048",23.6666666666667,"WGN07D39_STP_2017_1",22,7
"100","92","10","0.444444444","2.626666667",NA,"0.395294118","0.839506173","0.8186","10.102",22.6666666666667,"WGN07D40_STP_2017_1",25.2,7
"90","74","9","0.708661417","2.143333333","25.659","0.484699454","0.960629921","0.6659","7.755",20.3333333333333,"WGN07D41_STP_2017_1",18.7,7
"90","46","9","0.48","2.33","22.018","0.513043478","0.92","0.8918","8.56",23,"WGN07D42_STP_2017_1",17.6,7
"90","55","11.33333333","0.523489933","2.556666667","20.478388","0.399744246","0.926174497","0.9345588","9.781",23,"WGN07D43_STP_2017_1",22.4,8
"105","47","9","0.538461538","2.44",NA,"0.550724638","0.884615385","0.9259","8.123",23,"WGN07D44_STP_2017_1",17.6,7
"105","79","9.333333333","0.569832402","2.27","30.228848","0.490651261","0.759776536","0.8492848","8.101",22.6666666666667,"WGN07D45_STP_2017_1",26.6,8
